beta,se,z,p
"[0.10497320754968174, 0.2314286246969118]","[0.06764568774898988, 0.07574584175594008]","[1.5518093028960187, 3.0553310826301945]","[0.12070785933768827, 0.0022481219955296453]"
"[0.04131296130275125, 0.34830970883726897]","[0.06937224446907019, 0.08430188542557772]","[0.5955257988109459, 4.131695359823941]","[0.5514920593336673, 3.600974597690219e-5]"
"[0.13767299472088404, 0.1254785645541628]","[0.06559209167390319, 0.08039661653119957]","[2.098926733505273, 1.560744344327827]","[0.035823359823190855, 0.11858408386675572]"
"[-0.03913007718016463, 0.3601925123288148]","[0.05933059730674203, 0.06850865966952963]","[-0.6595260954117865, 5.257620190882474]","[0.5095579945543514, 1.4593151815358662e-7]"
"[-0.0822355490915995, 0.22967958522115575]","[0.07412545130123817, 0.0804347877612516]","[-1.1094104339061994, 2.8554757414527656]","[0.26725316327121906, 0.004297240554561491]"
"[-0.03640498550219041, 0.20251960364006172]","[0.06976675030396472, 0.07472121905589903]","[-0.5218099645401082, 2.710335915271358]","[0.6018026510736775, 0.00672150965324249]"
"[-0.061830904479256786, 0.22709465973501006]","[0.056842492490183985, 0.07173599427471743]","[-1.0877585019681226, 3.165700315874023]","[0.2767017337424433, 0.001547100960881348]"
"[0.045332776989511506, 0.3118719205072303]","[0.0738068739457047, 0.0798888552193666]","[0.6142080617431395, 3.9038226252067574]","[0.5390778467663405, 9.46851859166436e-5]"
"[0.10129444586347579, 0.14036942555141566]","[0.06590998265733004, 0.07303992507424999]","[1.536860453902889, 1.9218177648556007]","[0.12432748546568571, 0.05462869219014917]"
"[-0.04856767692350694, 0.23845328523104273]","[0.0713870310028609, 0.07140882818220706]","[-0.6803431413411849, 3.339268985378171]","[0.4962872140282383, 0.0008399918457651567]"
"[0.06064477694083103, 0.20116208817564915]","[0.06737251851717417, 0.07723188570449906]","[0.9001411595645167, 2.6046507390137528]","[0.368045134509385, 0.009196795596244993]"
"[-0.008307305462398265, 0.2998357024996917]","[0.06346737223097354, 0.0802542751622251]","[-0.13089096287405622, 3.736071404216251]","[0.8958615637583909, 0.00018691761173601808]"
"[0.06397421053108662, 0.23702994300170557]","[0.08794529877149623, 0.08032147610876868]","[0.727431840300043, 2.9510157741713745]","[0.46696145528549704, 0.0031673074104332467]"
"[-0.030712536776556065, 0.2977628336721837]","[0.0677240612337147, 0.0792830959623916]","[-0.45349520121906994, 3.7556912991065494]","[0.6501921980638811, 0.00017286366199683166]"
"[-0.059048293396211045, 0.1953448029899693]","[0.06936113285560955, 0.07334337037244289]","[-0.851316738426592, 2.6634282280456216]","[0.39459342921547824, 0.007734891034551961]"
"[0.07383906250591431, 0.11450541598182919]","[0.06145280586778035, 0.07183196272650032]","[1.2015572187994765, 1.5940733294147584]","[0.22953512505005863, 0.11091961172097277]"
"[-0.08130965104986636, 0.27778416454509575]","[0.06317768197284063, 0.07454760256690854]","[-1.286999594015185, 3.726265566968123]","[0.19809442964497825, 0.00019433765143290417]"
"[0.035439115410079464, 0.33080951421205634]","[0.06494394702057926, 0.07662699517336088]","[0.5456877359001542, 4.317140629925955]","[0.585280603606523, 1.5806345970381772e-5]"
"[-0.10842198653361895, 0.3629197194794334]","[0.06244705186970315, 0.07149385379805516]","[-1.7362226604362891, 5.076236630138211]","[0.08252447199619349, 3.8498379821335845e-7]"
"[-0.02388090743633367, 0.26272984958118706]","[0.0529024938724512, 0.06504236286794998]","[-0.45141364212263674, 4.039365084484789]","[0.6516914528575722, 5.359608618998869e-5]"
"[-0.045915122705098024, 0.34486587502594807]","[0.070822822730924, 0.07954256821365956]","[-0.6483096964313694, 4.33561403372849]","[0.5167846637776422, 1.4535379642130501e-5]"
"[0.020768311954909687, 0.24195773555936584]","[0.07430603653473869, 0.08516426673216185]","[0.279496968529607, 2.8410710834898993]","[0.7798634641268288, 0.0044962289136321375]"
"[-0.011522196099498377, 0.33173201812621167]","[0.06479746816320213, 0.0700353102864241]","[-0.1778186158520577, 4.736639514689433]","[0.8588654270038723, 2.1729117234198457e-6]"
"[0.06537835893220907, 0.21470685845820867]","[0.0584825369668953, 0.073133397062763]","[1.1179124970111545, 2.935825041382222]","[0.2636043671135415, 0.003326618896719279]"
"[-0.13887382292688935, 0.4035207198545172]","[0.06531229587205399, 0.07558143630632563]","[-2.126304412861883, 5.338886631091256]","[0.03347792085827619, 9.351909649601282e-8]"
"[0.01354969591375785, 0.2583548185509983]","[0.06514566167554689, 0.06888342759411471]","[0.20799076354832496, 3.750609218712451]","[0.8352361792748633, 0.00017640544502307528]"
"[-0.08558990636256505, 0.2908809289921351]","[0.06287636813858542, 0.06679558709878405]","[-1.3612412563956757, 4.354792608708581]","[0.1734374602828072, 1.3319295763085861e-5]"
"[-0.01238781399132581, 0.30709491491304475]","[0.0742058156392808, 0.0840501786127023]","[-0.1669385867482916, 3.653709248235128]","[0.867418371309846, 0.00025847895436904573]"
"[0.06663228596741758, 0.12592178672632157]","[0.07502357920880506, 0.08098192789518535]","[0.8881512541805969, 1.554936885292503]","[0.3744593955850584, 0.11996110159443887]"
"[0.07655711554122488, 0.23123383672070794]","[0.06155069734143872, 0.06693134623910266]","[1.2438058193969992, 3.4547913603090867]","[0.21357103809729008, 0.0005507188144745758]"
"[0.0575403255775875, 0.07226519407056368]","[0.056534921672226714, 0.06567915849893487]","[1.0177837675479562, 1.100275882367397]","[0.30878072784635213, 0.27121193698282137]"
"[0.0506842338106894, 0.2271890781030844]","[0.06076145705604307, 0.06448478278958492]","[0.8341510600040584, 3.523142488428731]","[0.4041958653142996, 0.0004264620195104991]"
"[-0.04152324363327191, 0.20828934688647907]","[0.07614698245024926, 0.08879982124163668]","[-0.5453038623086762, 2.345605475034626]","[0.5855445481765694, 0.018996202969252703]"
"[-0.08822884557208155, 0.27018241702329365]","[0.07909688635846308, 0.09309109562932512]","[-1.1154528279688898, 2.902344367060839]","[0.2646564221515971, 0.003703811444519527]"
"[-0.00526137885757435, 0.17325606257312895]","[0.05717850950198058, 0.0700487416833946]","[-0.09201671927793262, 2.473364380422556]","[0.9266847558852045, 0.013384759485730698]"
"[-0.005019622736726896, 0.16632232498930696]","[0.0744445404028111, 0.07523082397967773]","[-0.06742768119147863, 2.210826841857215]","[0.9462412329254263, 0.02704783031965028]"
"[0.06942694844251242, 0.10790055469654565]","[0.07172693897424094, 0.08390700676063409]","[0.9679340765879537, 1.285954044390586]","[0.3330772943694718, 0.1984591005645548]"
"[0.08419191295655166, 0.2768143885824868]","[0.06725624985959869, 0.0737578544413979]","[1.2518080198094177, 3.7530157388515333]","[0.2106398271370285, 0.00017471988069245862]"
"[-0.03838196850074599, 0.3094728085735994]","[0.07434982527581425, 0.0885487833408502]","[-0.5162348177465256, 3.4949413972448147]","[0.6056904152385374, 0.0004741658535923861]"
"[0.044458147761475, 0.329472318966792]","[0.06671513196271917, 0.07627084743532596]","[0.6663877662164933, 4.319767382238264]","[0.5051632800432634, 1.561937562959782e-5]"
