beta,se,z,p
"[0.002992710739754508, 0.28785386269084556]","[0.06413160234979069, 0.07519467089219424]","[0.046665148383966355, 3.8281152011894357]","[0.9627801076302384, 0.00012912831770068052]"
"[-0.0015501292336969035, 0.18645440244040526]","[0.07742604540001553, 0.07821113630171017]","[-0.02002077241176769, 2.3839878981061196]","[0.9840268018974652, 0.017126165557876865]"
"[0.08879632170430378, 0.18951529851249832]","[0.05915910076277381, 0.06321408079743382]","[1.500974838349459, 2.997991841719412]","[0.1333620696721042, 0.002717649482190706]"
"[0.034138476947988, 0.24914769750702065]","[0.07174344511674191, 0.0759944423405047]","[0.4758410596597, 3.278498924838166]","[0.6341876154032577, 0.001043607617873073]"
"[0.07638980626330821, 0.170377116201612]","[0.06480716381338623, 0.07132790591390724]","[1.178724723755455, 2.3886459867090046]","[0.2385078074204175, 0.01691058835645577]"
"[-0.09815074949888272, 0.2197109457084056]","[0.05728464507413705, 0.07375022793026577]","[-1.7133867089838346, 2.979122260017317]","[0.08664141982273074, 0.0028907541037072213]"
"[0.02383681006274389, 0.25227177755156555]","[0.046406771961888374, 0.0586389373730628]","[0.5136493889796925, 4.302120550831343]","[0.6074971425965859, 1.6917122232246674e-5]"
"[0.08490266010895832, 0.17185943055240196]","[0.07894635198227459, 0.09764829403242829]","[1.0754475409835411, 1.7599839531792403]","[0.2821744068079635, 0.07841052739553538]"
"[-0.03476644113722843, 0.3691090998222779]","[0.07187402607440374, 0.07576661570929004]","[-0.48371356157561474, 4.87165879545838]","[0.6285891672553003, 1.1066516560454597e-6]"
"[-0.09894439654986087, 0.1785796192353936]","[0.056669309504713584, 0.06483671647111396]","[-1.7459961558492427, 2.754297702829451]","[0.08081161982207853, 0.0058818239267459495]"
"[-0.029770185666143402, 0.23918059138449452]","[0.07122578796392402, 0.08091435715270105]","[-0.4179692007229467, 2.9559722131032253]","[0.6759696358855498, 0.0031168516978965334]"
"[-0.03241694885776164, 0.20465628091503046]","[0.07468508242148622, 0.07440852712912412]","[-0.43404851151955853, 2.7504412304772834]","[0.6642532137506549, 0.005951506623084101]"
"[-0.0019677150037450747, 0.25795647465388094]","[0.07730600630011916, 0.06683941117334331]","[-0.02545358501777942, 3.859346905149852]","[0.9796931702692678, 0.00011369045386186713]"
"[-0.055303674375159664, 0.19597270539072031]","[0.06607942769973019, 0.06579285998820548]","[-0.8369272601219195, 2.978631806336612]","[0.4026334563547762, 0.0028953846987491193]"
"[-0.044510828184352556, 0.2765307613464032]","[0.07557434674542386, 0.06871505158891951]","[-0.5889674221636293, 4.024311340122671]","[0.555883127739088, 5.714228062931046e-5]"
"[0.15030601776833155, 0.10244628711435451]","[0.06509241035985332, 0.07555268680946678]","[2.309117406121359, 1.3559582251880677]","[0.020937067125759816, 0.17511246005363032]"
"[-0.049933962737098644, 0.3287631662711577]","[0.07612127529549208, 0.09575959442648127]","[-0.6559790616126967, 3.4332138543419086]","[0.511837596465454, 0.0005964714325445048]"
"[-0.03533482421432853, 0.26619295311879465]","[0.06585657734358721, 0.07568493333690787]","[-0.5365420682277419, 3.517119476525789]","[0.5915839697727725, 0.0004362573670095787]"
"[0.10094355438109492, 0.24393105706437906]","[0.07282240229320175, 0.08600802047419397]","[1.386160730796413, 2.8361431378085102]","[0.16569782945137027, 0.004566197621183991]"
"[-0.09384107824639232, 0.3832847889503075]","[0.07423923762287085, 0.07879345626362216]","[-1.264036124981471, 4.8644241175045995]","[0.20621706105654786, 1.147905353384667e-6]"
"[-0.16838833780745838, 0.289101314104236]","[0.07089772016022691, 0.08084064455164737]","[-2.3750881893931894, 3.5761876430801505]","[0.017544757771529976, 0.00034864144460895226]"
"[0.03128002418581559, 0.26402634374404504]","[0.06817111977809928, 0.07684487088807032]","[0.4588456854989881, 3.4358356087111788]","[0.6463449848622115, 0.0005907293000684843]"
"[0.015962220782550985, 0.21563002630745515]","[0.06771746324593256, 0.07481544706308786]","[0.2357179376991762, 2.8821591632758126]","[0.813651549792514, 0.003949601728941027]"
"[0.0172733565970157, 0.31468559713225225]","[0.06176152613312875, 0.07553779967049022]","[0.2796782670133909, 4.1659354456307796]","[0.7797243535988054, 3.100784435162663e-5]"
"[0.03174336574633525, 0.20817514537501036]","[0.07395123104716649, 0.07876713031002525]","[0.42924729307195936, 2.6429190013097945]","[0.6677432692518138, 0.008219469574253735]"
"[0.05718026141997533, 0.2586825301261509]","[0.06509190696058655, 0.0723636523055202]","[0.8784542363246208, 3.5747577946175264]","[0.37969726238968515, 0.0003505522614517432]"
"[-0.05594167559107012, 0.14944484318117338]","[0.07638286456778019, 0.083325292430763]","[-0.7323851482609547, 1.793511175557538]","[0.4639335211212818, 0.07289122530145853]"
"[0.0722322868656439, 0.20070122352858633]","[0.06609709143995976, 0.0702165882889009]","[1.0928209591681826, 2.8583163668222693]","[0.27447241737076233, 0.004258955368646035]"
"[0.07904391699072147, 0.20328381184964275]","[0.07323405379735344, 0.08441142171173413]","[1.0793328088793848, 2.4082500653034735]","[0.28043939209777746, 0.016029197483512267]"
"[0.06474979428241447, 0.2623594465323859]","[0.05802005398404873, 0.07101141327883133]","[1.1159899006680676, 3.694609562299697]","[0.2644264576319857, 0.00022022492096806652]"
"[-0.0286851858153562, 0.20198271010143737]","[0.06993940749358166, 0.06634325007749776]","[-0.41014339187801446, 3.044510328714596]","[0.6817007636141565, 0.0023305942743262593]"
"[0.06467695966592205, 0.2876052317919947]","[0.07297600816835362, 0.07594373022790309]","[0.886277028427125, 3.787083290864259]","[0.3754682644752649, 0.0001524260167244]"
"[-0.17485994245030187, 0.5084020963082573]","[0.0812584009854345, 0.08976944503127329]","[-2.151899869179623, 5.66342028884264]","[0.031405241570076695, 1.483851166703557e-8]"
"[0.016929765147107586, 0.1263022794312974]","[0.055168949424078295, 0.07655551523700768]","[0.306871262256059, 1.6498129369292214]","[0.7589413637702935, 0.09898120195387412]"
"[-0.11808938988333245, 0.36067763418217547]","[0.05374174102600033, 0.07277563915030208]","[-2.1973495392752653, 4.956021525792101]","[0.027995492158484406, 7.195124823524675e-7]"
"[-0.03414289169121921, 0.29552843546918645]","[0.06893716005825555, 0.07516480909371119]","[-0.49527557651586834, 3.9317393209997844]","[0.6204056086262558, 8.43334848321517e-5]"
"[0.02689207115764755, 0.23731056617870364]","[0.06977508360385273, 0.06825199012422864]","[0.38541080524284266, 3.4769765064251397]","[0.6999330783355604, 0.0005071022499833093]"
"[-0.028311014092338712, 0.20482269168418762]","[0.07257426743504873, 0.08352632571491926]","[-0.39009713901247456, 2.452193244837091]","[0.6964647183245037, 0.014198838560630136]"
"[-0.15996884877572937, 0.35911247152238795]","[0.06859194854200057, 0.07517325308095602]","[-2.3321811404406514, 4.777130918302158]","[0.019691163890492587, 1.778140124507615e-6]"
"[0.04096574211372449, 0.2128338477770514]","[0.06653331581227237, 0.07493077933137875]","[0.6157177289842538, 2.8404061678819748]","[0.5380808341318698, 0.004505612583543859]"
"[-0.08306592476437555, 0.26634555140659877]","[0.08087197232169666, 0.07130309649102234]","[-1.027128711959091, 3.7353995059686347]","[0.30435986043444624, 0.00018741741341946806]"
"[-0.019859018527946286, 0.3052199681363091]","[0.07562546638477576, 0.08363549811336206]","[-0.2625969726507912, 3.6494069506539533]","[0.7928612336709572, 0.0002628464264173975]"
"[0.009370827841570424, 0.20518881780258882]","[0.0693169712381059, 0.08359128049460825]","[0.1351880740631518, 2.4546677187918395]","[0.8924631760515062, 0.014101486638880978]"
"[0.04786615072086289, 0.230277078933017]","[0.07018885351744747, 0.07488906878502191]","[0.6819622820732408, 3.074909097802445]","[0.4952628011193433, 0.002105667207531063]"
"[-0.014896635273886414, 0.1354090735291807]","[0.06279787799927079, 0.06735861453381506]","[-0.23721558352751015, 2.010271061338461]","[0.8124895473944742, 0.04440250795968642]"
"[-0.04257660377913791, 0.27400776010664807]","[0.07742597052604706, 0.07336585500011474]","[-0.549900808344593, 3.7348131512434435]","[0.5823874097698177, 0.00018785460845819235]"
"[-0.0365700932851691, 0.07631258638196466]","[0.07528418620072577, 0.08731024920955939]","[-0.4857606242520099, 0.8740392688469084]","[0.6271368949832279, 0.38209686883018246]"
"[-0.12535621295018917, 0.38548592725681613]","[0.07780407539022657, 0.07126197869869749]","[-1.6111779790642677, 5.409419360732148]","[0.10714093600532533, 6.322941308776673e-8]"
"[-0.043109358411002455, 0.3256718083082163]","[0.0700618044086834, 0.08274187710165809]","[-0.6153047123870466, 3.9359973415649048]","[0.5383535060726988, 8.285188979694883e-5]"
"[0.02413698495841345, 0.2659991596571545]","[0.0800419073064179, 0.08767232600643621]","[0.3015543453507648, 3.0340150851892185]","[0.7629918157294573, 0.002413223627841147]"
"[-0.01734818999917479, 0.2504116221525396]","[0.07415792267699513, 0.07205164013377698]","[-0.2339357599691294, 3.47544652262745]","[0.8150348509120199, 0.0005100036660195134]"
"[0.062453842545411496, 0.2050876460284132]","[0.06675388736762751, 0.07015554849756722]","[0.9355836043145357, 2.9233275260548353]","[0.3494876194561313, 0.0034631202488356176]"
"[-0.04726999539474747, 0.28797542264773723]","[0.05794962629707173, 0.0637363287360198]","[-0.8157083732071639, 4.518230471674336]","[0.41466694889184796, 6.235858712077175e-6]"
"[0.05323279333541291, 0.26109846708919604]","[0.06158581719928835, 0.07397262923854848]","[0.8643677352393407, 3.5296631980891235]","[0.38738591129932687, 0.00041608899236762184]"
"[-0.04382427009116199, 0.3597957391654076]","[0.06946568589516232, 0.07414726927747652]","[-0.630876518764986, 4.8524476042262235]","[0.5281212662284005, 1.2194700790834725e-6]"
"[-0.007495698537798153, 0.22200338740400782]","[0.060952082758001576, 0.06461207128143405]","[-0.12297690576970717, 3.4359428973731005]","[0.90212538566128, 0.0005904954174336713]"
"[0.01654495374887502, 0.22289451438193633]","[0.0677930427142432, 0.08466312016430975]","[0.2440509097462143, 2.6327226536106196]","[0.8071913914216036, 0.008470348376889104]"
"[0.07112368817982519, 0.22732212865112608]","[0.07264023940182243, 0.07835133169061655]","[0.9791224363453956, 2.9013179960839195]","[0.3275194870011996, 0.0037159657249460085]"
"[-0.007564951446343945, 0.2472840455096589]","[0.06399431525828037, 0.06849399920301642]","[-0.11821286649934268, 3.6103023387013544]","[0.9058989954491765, 0.0003058402976340393]"
"[-0.0575504375992658, 0.24232437916520397]","[0.07148409702321794, 0.07727352881281202]","[-0.8050802905235481, 3.135930025302874]","[0.42077334859499566, 0.0017131007277866827]"
"[-0.0641723939275474, 0.23901898480780917]","[0.06342087460320765, 0.07832633689526686]","[-1.0118497155556687, 3.051578744546813]","[0.3116099150558471, 0.0022764132998457616]"
"[0.009216298143266482, 0.24602829248084637]","[0.08310156733460503, 0.08097033678366934]","[0.11090402309931699, 3.038499063405984]","[0.9116924553137338, 0.0023775984386827527]"
"[0.09865753518144234, 0.09434510559628491]","[0.07395431751885194, 0.07969159588129847]","[1.334033474871744, 1.18387772955147]","[0.18219288610172524, 0.23646146710660165]"
"[0.06906134034743251, 0.2133758926068182]","[0.07376548254851645, 0.07787879842007989]","[0.9362284087548677, 2.739845720986399]","[0.34915559929405715, 0.006146803027235689]"
"[0.046839656817926366, 0.21125207767132081]","[0.06849546040733653, 0.07878190581670907]","[0.6838359292626841, 2.681479655529173]","[0.49407877585413923, 0.007329737113770314]"
"[0.004208400176032532, 0.21631953918035707]","[0.0681055782494655, 0.07845531598861259]","[0.06179229784405449, 2.757232399800095]","[0.9507282371978212, 0.005829290483299356]"
"[0.04538432900103313, 0.2381546078931861]","[0.07393526279039729, 0.07104745241893694]","[0.6138387460621516, 3.352049929797462]","[0.53932189064895, 0.0008021555046357953]"
"[0.19469149589226176, 0.19632508603158547]","[0.0762008156280551, 0.081735850260782]","[2.554979159836992, 2.4019458463477315]","[0.010619415582532538, 0.016308122460364612]"
"[0.05559989832447863, 0.12418793935588356]","[0.06396762659984429, 0.06687972772060378]","[0.8691880765295422, 1.8568846433509731]","[0.38474426804017847, 0.06332756784070002]"
"[0.03468984446512846, 0.16589197033666722]","[0.060362667404907346, 0.07945796491249242]","[0.5746903832534785, 2.0877953584560736]","[0.5655007125073616, 0.03681629844896233]"
"[0.03963420550033261, 0.22997317809135787]","[0.06980952662352863, 0.07612418314091257]","[0.5677478048816088, 3.0210265463953454]","[0.5702062259611386, 0.0025191927252329605]"
"[-0.039075102357086666, 0.3986962322052076]","[0.06210285431841841, 0.07802326951792891]","[-0.6291997813295002, 5.109965714953684]","[0.5292182720016602, 3.222172794549816e-7]"
"[0.118371701085408, 0.1368131155883356]","[0.07133653817753549, 0.07035909289349157]","[1.6593418199074355, 1.944498002489046]","[0.09704693277382995, 0.051835426068327146]"
"[-0.023664872723438334, 0.3241931240687599]","[0.06015079529279914, 0.07372711749648667]","[-0.39342576616391534, 4.397203296117046]","[0.6940050421845855, 1.096546296724775e-5]"
"[-0.04246226002175099, 0.3532834694031015]","[0.06871437073036751, 0.06865100947890193]","[-0.6179531234939374, 5.146078289084356]","[0.536606239282416, 2.659884501810646e-7]"
"[-0.0695492038172022, 0.44862451065922027]","[0.06796144815856894, 0.07644802394203597]","[-1.0233625930826058, 5.868359802202004]","[0.306136438979757, 4.401273311385379e-9]"
"[-0.009944610965619369, 0.40707835856869573]","[0.0798874392718916, 0.07256044220386808]","[-0.12448278548237784, 5.610196771196015]","[0.900933029554782, 2.0209669221627918e-8]"
"[-0.014003919031072632, 0.36192125126793634]","[0.06433415844670078, 0.07929765462684886]","[-0.21767470608439723, 4.564085192317855]","[0.8276825727428747, 5.0167705382152375e-6]"
"[-0.0745658456292335, 0.3008242549914441]","[0.06309575864518605, 0.06810506458989443]","[-1.181788558063761, 4.417061444738444]","[0.2372896089481155, 1.000517956142557e-5]"
"[0.027343811735393277, 0.20571403735749771]","[0.06267231310625586, 0.07873056325444179]","[0.43629810964586624, 2.6128866459734343]","[0.6626204532173644, 0.008978107437716676]"
"[-0.1937158187246386, 0.33562416408318513]","[0.06361243831562596, 0.057864540640516576]","[-3.0452506436473703, 5.8001698513127415]","[0.002324864730425029, 6.624778257452993e-9]"
"[-0.0037319574332134588, 0.2530725585110065]","[0.07880590343579938, 0.09689785467788788]","[-0.047356318124742565, 2.6117457331979277]","[0.9622292430204521, 0.009008122367800917]"
"[0.01474851432030456, 0.18864912620772667]","[0.0636097884245417, 0.07444924365711723]","[0.23185919471812522, 2.53392938518714]","[0.8166473788043365, 0.011279145853213369]"
"[-0.05449175307027755, 0.22398911756230427]","[0.06455996377101117, 0.0747276536231147]","[-0.8440486934527298, 2.9974060030304512]","[0.3986421961449578, 0.002722878135878292]"
"[0.08449749565947859, 0.09841102076252137]","[0.048846670162281274, 0.058716714533435466]","[1.7298517049116358, 1.6760307783652046]","[0.08365677380464673, 0.09373216405886571]"
"[-0.03889156382597332, 0.2564253981808665]","[0.06673523511863966, 0.08512864924167332]","[-0.5827740586638109, 3.0122103482799973]","[0.560045410444216, 0.0025935281378147044]"
"[-0.0062859651273467956, 0.38553007944416195]","[0.07301089653590775, 0.08123415020112258]","[-0.08609625995011953, 4.745911399204054]","[0.9313898967139902, 2.075695625397115e-6]"
"[-0.0051916576042218285, 0.23908786503107943]","[0.06800216410766119, 0.08211707856809583]","[-0.07634547624105585, 2.9115485986610583]","[0.9391442465836146, 0.003596419558198838]"
"[0.02649352925607645, 0.18549582878184273]","[0.05562474408728704, 0.07191456977131735]","[0.4762903576599377, 2.5793914831404097]","[0.6338675338790181, 0.009897454988085135]"
"[0.047560307419653634, 0.2627671669362737]","[0.0538050866513109, 0.06542855206800274]","[0.8839370100428019, 4.016093259456031]","[0.3767302170274292, 5.917084840117757e-5]"
"[-0.01749916961443193, 0.24417492605316662]","[0.07219098885994343, 0.08395867437173749]","[-0.24240102387822648, 2.9082751470330717]","[0.8084694410905379, 0.00363428423543738]"
"[-0.03651795799585621, 0.2631470660158279]","[0.06415156691364841, 0.07103672552363642]","[-0.5692449889027873, 3.704380573232779]","[0.5691898934889581, 0.000211907914026077]"
"[0.09760590613645653, 0.11909109504551485]","[0.06983220074491588, 0.0761313312047777]","[1.3977206087631817, 1.564284942360776]","[0.16219698307938327, 0.1177506666954868]"
"[-0.12331127598925919, 0.31606279087368117]","[0.06094879322632942, 0.0772427585053132]","[-2.0231947092266567, 4.091811284185825]","[0.04305307694921592, 4.280169104573526e-5]"
"[0.04453090913163205, 0.20620121326537735]","[0.05730555905873698, 0.07160910938171271]","[0.777078347425052, 2.8795388609879335]","[0.43711254782502384, 0.00398257212887855]"
"[0.002935434979417867, 0.3560351401771915]","[0.08124697795259908, 0.08544932837890075]","[0.03612977434225863, 4.166623037672747]","[0.9711788813288225, 3.0914507165957806e-5]"
"[0.0348888096449436, 0.22112450661149421]","[0.07048175400957703, 0.07563354913032626]","[0.4950048439515697, 2.9236299123087357]","[0.620596701243427, 0.0034597582020464775]"
"[-0.11727343999849606, 0.2905048203284692]","[0.0692199996598764, 0.08184470443952165]","[-1.6942132414726665, 3.5494638574097963]","[0.09022476954634805, 0.00038601645129031397]"
"[-0.09172299910625667, 0.26791925511957443]","[0.060169185021233335, 0.07365736102181399]","[-1.5244181730879052, 3.637372441842287]","[0.12740428323548023, 0.0002754335205307485]"
"[-0.023702476013915747, 0.17405620633046326]","[0.0653578845451866, 0.06286034530003853]","[-0.3626567196728732, 2.768934938229755]","[0.7168613343577104, 0.005623986468099012]"
"[-0.10303429877091122, 0.36145906786326837]","[0.07280413335164314, 0.08395508714164383]","[-1.4152259497858002, 4.305386131675821]","[0.15700225838150547, 1.6669471794388495e-5]"
"[-0.023674607461277378, 0.2542046701671831]","[0.0762101451250929, 0.09320799874046316]","[-0.3106490274020262, 2.7272838554877006]","[0.7560674513920906, 0.00638580789832407]"
"[-0.12078532559445077, 0.3397649610944146]","[0.0803263791031436, 0.08885064618609238]","[-1.5036819403916564, 3.8240010138226475]","[0.13266328145185638, 0.00013130337402014638]"
"[0.0714466669141185, 0.126449559751341]","[0.06080349572947514, 0.06485009443208302]","[1.1750420935006203, 1.9498747204411646]","[0.23997787566738615, 0.051191052864264265]"
"[-0.042975707483876545, 0.2563406771119358]","[0.06662663105085267, 0.07062413197270391]","[-0.6450229706358018, 3.629647118509166]","[0.518912299943844, 0.0002838089410329687]"
"[0.02249660881798051, 0.25878398897572175]","[0.07887889473122628, 0.07523978944060314]","[0.2852044123416785, 3.4394565814144746]","[0.7754875401296116, 0.0005828832738387805]"
"[-0.0979158496501285, 0.2646221708858302]","[0.0709361228911066, 0.06714838958479552]","[-1.3803383334107258, 3.9408565495329295]","[0.16748249744924776, 8.119117143785087e-5]"
"[-0.027981928515179583, 0.21927987232639978]","[0.076879072770729, 0.08883852405854155]","[-0.36397328306271465, 2.468297111531275]","[0.7158779600608599, 0.01357575865768044]"
"[-0.0014297845017746502, 0.06923532114507791]","[0.05181901001730545, 0.06477505828989949]","[-0.027591891494977618, 1.0688577204395031]","[0.977987648854502, 0.2851337856708457]"
"[0.084266296404915, 0.11790580706535024]","[0.059828126020063, 0.07223510693252277]","[1.4084729375721512, 1.6322507444405114]","[0.1589910749411582, 0.10262667483114238]"
"[0.08445336833293694, 0.26528832198807756]","[0.08007477539610935, 0.07731554727207969]","[1.054681301510592, 3.4312415982067153]","[0.29157110636284844, 0.0006008252377594529]"
"[-0.09257201963471044, 0.19938019211566863]","[0.06739706543938136, 0.07530386007596326]","[-1.373531904263281, 2.6476755894657]","[0.16958704992605755, 0.008104725830462333]"
"[0.05098622394625933, 0.21040678665277945]","[0.07623915651007884, 0.07566544020647262]","[0.6687668946011874, 2.780751503971039]","[0.5036441877723694, 0.005423323268811355]"
"[0.10770700481200018, 0.2224948433931056]","[0.07135092055172672, 0.07243081585588015]","[1.5095391058608232, 3.0718257245067715]","[0.13116106957494045, 0.0021275390017927334]"
"[0.03969015210595262, 0.2140486821054363]","[0.07956386137534353, 0.07907995279582847]","[0.49884647904045054, 2.7067376059021564]","[0.6178875410148423, 0.00679479390712716]"
"[-0.02347587416293475, 0.21941201575179634]","[0.06496407373722018, 0.07177850094746133]","[-0.3613670266106573, 3.0567929513099776]","[0.717825093895881, 0.002237187498265715]"
"[-0.12312372282924083, 0.3180346494518918]","[0.0766375833667796, 0.0877253172284772]","[-1.6065710506551771, 3.625346245526623]","[0.10814849724424595, 0.0002885745495268803]"
"[-0.007006953618834519, 0.17218622302207867]","[0.06326883661007397, 0.08107150783518526]","[-0.11074889304537706, 2.1238808506204863]","[0.9118154733790708, 0.03368010803756907]"
"[-0.02588364607978229, 0.26249161077436167]","[0.06884098486191084, 0.07738634621676868]","[-0.37599180388982933, 3.391962841081686]","[0.7069229892705414, 0.0006939385058120512]"
"[-0.1760681505737835, 0.26460670813645043]","[0.08866466172742848, 0.09470002822535789]","[-1.985775924065999, 2.794156592084273]","[0.04705821022920252, 0.005203527470936606]"
"[0.08072439416010771, 0.25222664346428614]","[0.07936073705735427, 0.06483770443606411]","[1.0171830196305751, 3.8901229717810972]","[0.309066372288375, 0.0001001934355386392]"
"[0.03138761633387158, 0.238125923077229]","[0.05580297006175427, 0.07011936271688941]","[0.5624721461803293, 3.3960080903569367]","[0.5737943759980707, 0.0006837633850270716]"
"[-0.045817662541988685, 0.23575908187047]","[0.06472339620013347, 0.07741190916089681]","[-0.7078995422353038, 3.045514371444534]","[0.4790076440227757, 0.002322826771331804]"
"[0.021626428218088318, 0.30053236338513795]","[0.06973206880507307, 0.08082168927280407]","[0.31013604771345854, 3.718461790259375]","[0.7564575006855854, 0.00020043960318605661]"
"[0.06395793064627366, 0.278432602035291]","[0.08484681426869968, 0.07645527466777315]","[0.7538047385459467, 3.641770999387356]","[0.4509664782285041, 0.00027076888687690325]"
"[0.1535135579573363, 0.21492901574861317]","[0.0784965356328462, 0.08707317821346669]","[1.9556730334618724, 2.4683722376791843]","[0.05050368337558457, 0.013572909454730858]"
"[-0.11650717957787252, 0.3604231384092039]","[0.06949589176402517, 0.07623765418562667]","[-1.6764613939119626, 4.7276262925355805]","[0.09364785208616519, 2.2715977475209057e-6]"
"[-0.049339045219820216, 0.2775080502562551]","[0.06780611053958087, 0.07526092984392346]","[-0.7276489512109567, 3.6872790547732115]","[0.4668285071004937, 0.0002266647500397744]"
"[0.049302024001376614, 0.33116450627631494]","[0.07007936315949552, 0.06912851268939484]","[0.7035170095534231, 4.790563161170393]","[0.4817336102810336, 1.6631385895020791e-6]"
"[0.04379365474652055, 0.2012405311421419]","[0.06652215165628421, 0.0812466638705969]","[0.6583319038265572, 2.4769082391205814]","[0.5103248816884969, 0.0132525968974429]"
"[0.010266333741361506, 0.17426826912700494]","[0.05870925833581199, 0.07579178522376531]","[0.17486737241065023, 2.2993028678833825]","[0.8611838482508583, 0.021487747096154176]"
"[-0.017334281068764144, 0.3003862778441198]","[0.06838084134951287, 0.07199527151926906]","[-0.2534961653976144, 4.172305645985701]","[0.7998848239914657, 3.0153277475909783e-5]"
"[-0.030078316021052844, 0.32611987974937456]","[0.07402004663958714, 0.07296399266874662]","[-0.40635364859344014, 4.469600248302539]","[0.6844827717094834, 7.836592308263069e-6]"
"[0.1563211431496321, -0.012928905864188257]","[0.05637947502207754, 0.06852908779022096]","[2.7726604954802894, -0.18866303756684763]","[0.005560009430451453, 0.8503569230233798]"
"[0.07379855171137378, 0.25139838070737197]","[0.06248068786170369, 0.08062199514948036]","[1.1811417933605555, 3.1182356656053596]","[0.23754639961528007, 0.0018193726177251747]"
"[0.12250399437046429, 0.1735707008336282]","[0.07032375394838664, 0.08452117212240566]","[1.742000213190763, 2.0535765947762625]","[0.08150840695662587, 0.040016689377892316]"
"[-0.0173821127585973, 0.17621021534890613]","[0.05893442636779328, 0.0796222967467128]","[-0.2949398819990271, 2.213076268189676]","[0.7680398049227695, 0.026892387938066867]"
"[0.06457878361575875, 0.1497728973568781]","[0.057450123639961215, 0.0617871069178533]","[1.1240843278331776, 2.42401537841872]","[0.26097725323795484, 0.015349955454022669]"
"[-0.061481712481433644, 0.3481362881808787]","[0.06951534393008552, 0.07931617640662372]","[-0.8844336948583376, 4.389221769795319]","[0.3764621405167653, 1.1375701698711696e-5]"
"[-0.06052164779196255, 0.28097476325438175]","[0.06697591944291295, 0.07957883604515177]","[-0.9036329518932291, 3.5307724668775142]","[0.36619006236429547, 0.0004143480151225271]"
"[0.03603224954843088, 0.08600182463433996]","[0.061422727879709975, 0.0705844805686607]","[0.5866273086893226, 1.2184239926605696]","[0.5574540377058209, 0.22306289219316452]"
"[-0.013109797261978142, 0.340728035082533]","[0.07780647807858573, 0.08711519046236468]","[-0.1684923618922456, 3.9112356097038394]","[0.8661959520978882, 9.182513959960843e-5]"
"[0.023161354022556042, 0.2715665100692424]","[0.0689287782969045, 0.08333053298457095]","[0.33601863539189103, 3.2589076337664156]","[0.7368568136949804, 0.0011184207450309755]"
"[0.009674946205126387, 0.18316289850895123]","[0.05282059106405539, 0.06735570589221725]","[0.18316618595565515, 2.7193375243078726]","[0.8546676251810998, 0.00654128222035556]"
"[0.009095434838592294, 0.21260630245872472]","[0.08542798398108678, 0.09222062991484335]","[0.10646903291790154, 2.305409349893247]","[0.9152102238804349, 0.021143658347598616]"
"[0.034993152420745605, 0.1557017716952959]","[0.05716525525606529, 0.06591847593133573]","[0.6121402286056056, 2.362035370136338]","[0.54044498344286, 0.018174908061212403]"
"[-0.03110594252916149, 0.2983029618118343]","[0.08408555752510578, 0.08636126405110285]","[-0.36993204831726373, 3.4541291757299715]","[0.7114331216057533, 0.0005520728715312353]"
"[-0.032163746088276976, 0.26378465130225637]","[0.06867500862703946, 0.07149183649150906]","[-0.4683471721562059, 3.689717095651691]","[0.639536339738741, 0.00022450357338508914]"
"[0.027936686639592236, 0.22153681177356005]","[0.07816487662413653, 0.0711648939122674]","[0.35740716094171726, 3.1130069841272054]","[0.720787016658771, 0.0018519163522919347]"
"[0.02116449889066587, 0.21734913088498856]","[0.06275153452225235, 0.07502563517097514]","[0.33727460295270895, 2.896998211207061]","[0.7359099031423765, 0.0037675190357239607]"
"[-0.08155855364987534, 0.2886110090090891]","[0.06267221603074889, 0.07277622152552185]","[-1.3013510422203713, 3.9657322537399975]","[0.19313832330991357, 7.317096358679748e-5]"
"[-0.0077742838449813235, 0.1753608721321302]","[0.0723823763102933, 0.07836912390609413]","[-0.10740575594885192, 2.237627057592943]","[0.9144670883370181, 0.025245385560023193]"
"[-0.023836737802008977, 0.24960435813234222]","[0.07692023185130517, 0.07303525445623764]","[-0.30988905296187713, 3.4175873006905713]","[0.7566453277824496, 0.0006317882828527568]"
"[0.020429868835072716, 0.1609642804787144]","[0.06290088305051926, 0.08190459011104406]","[0.3247946267886944, 1.9652656860926023]","[0.7453365114720081, 0.04938349490490744]"
"[0.03540189489555645, 0.31413275104033084]","[0.07810288755169535, 0.07961738695778142]","[0.4532725486253548, 3.945529526193889]","[0.6503524973903134, 7.962381913252317e-5]"
"[0.08230958188937722, 0.17898857579239968]","[0.0754537571224013, 0.08813072014217033]","[1.0908612775352509, 2.0309442099606096]","[0.2753339280664549, 0.04226065435443949]"
"[0.04506371466161423, 0.1365656841502993]","[0.06844491685641857, 0.0712285825555603]","[0.6583938841820404, 1.917287684951111]","[0.5102850642374399, 0.05520139359267983]"
"[-0.02718974275699819, 0.3221213938515574]","[0.06504057979853592, 0.06604919380557583]","[-0.41804274871501435, 4.876992061398395]","[0.6759158623040616, 1.0771576875614253e-6]"
"[-0.13110486077394365, 0.24533827777199438]","[0.07476459077607903, 0.0755442958273328]","[-1.7535688942189827, 3.247608242093484]","[0.07950440488343989, 0.0011637938802145445]"
"[-0.06895593921723069, 0.31153328096585947]","[0.07562943475528759, 0.08174835841663071]","[-0.911760605382677, 3.8108811846487405]","[0.36189475249254255, 0.00013847231368894437]"
